Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C22, C3, C4, C5, C6, C8",0603,8,1u,
"C10, C11, C12, C19, C28",0402,5,0.1u,
"C13, C14, C16",0402,3,1n,
"C15, C26, C27, C29, C30",0603,5,2.2u,
C18,1210,1,10u,
"C2, C7",0603,2,47n,
C20,0603,1,0.33u,
C21,0603,1,22u,
"C23, C24, C25",0402,3,2.2n,
C9,0603,1,4.7u,
D1,D_SOD-123,1,D_Schottky,
D2,0805,1,GREEN,
"FB1, FB2",0603,2,600,
J1,AMPHENOL_10159560-A00221RLF,1,10159560-A00221RLF,
L1,L_Changjiang_FNR4020S,1,SD53-120-R,
"Q1, Q2, Q3, Q4, Q5, Q6",DNK0008A,6,CSD16556Q5B,
"R1, R22",0603,2,10K,
"R10, R11, R14, R9",0402,4,4.99K,
"R13, R6, R7, R8",0603,4,24.9K,
R15,0603,1,68k,
R16,0603,1,20k,
"R17, R18, R19",0402,3,56,
R2,0603,1,100,
R20,0603,1,47K,
R23,0603,1,330,
"R3, R4, R5",2512,3,0.007,
U1,PHP0048G_N,1,DRV83053PHP,
U2,PT0048A_N,1,TMS320F28027FPTT,
U3,DQA0010A,1,TPD4E05U06DQAR,
U4,DDC0006A,1,LMR16006XDDCR,
