Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_5x5.3,1,10u,
"C10, C11, C15, C9",0603,4,1u,
"C12, C16",0603,2,10u,
C13,0603,1,0.1u,
C14,0805,1,470n,
C17,2220,1,10u,
C18,0603,1,100n,
C2,CP_Elec_10x10.5,1,220u,
"C3, C5, C7",0805,3,0.01u,
"C4, C6, C8",1210,3,4.7u,
"D1, D2",0805,2,GREEN,
D3,0805,1,RED,
J1,AMPHENOL_10159560-A00221RLF,1,10159560-A00221RLF,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"Q1, Q2, Q3, Q4, Q5, Q6",DNK0008A,6,CSD17573Q5B,
"R1, R2, R3, R4",0603,4,10k,
"R10, R5, R6, R7, R8, R9",0603,6,10,
"R11, R13, R16, R18",0603,4,0,
R12,2512,1,0.001,
"R14, R15, R17, R19",0603,4,5.1k,
R20,0603,1,2k,
"R21, R22",0603,2,890,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,16,TestPoint,
U1,WQFN36_REE_TEX,1,MCF8329A1IREER,
