Designator,Mid X,Mid Y,Rotation,Layer
C1,51.435,-66.507,270.0,top
C10,45.525,-57.5,180.0,top
C11,49.275,-57.5,180.0,top
C12,41.6711,-46.571999,180.0,top
C13,41.6711,-48.571999,180.0,top
C14,41.5,-53.0,180.0,top
C15,41.674647,-44.558445,180.0,top
C16,41.6711,-55.5,180.0,top
C17,33.75,-49.321999,90.0,top
C18,41.6711,-50.571999,180.0,top
C2,41.402,-66.412,270.0,top
C3,68.25,-39.05,270.0,top
C4,72.025,-31.5,180.0,top
C5,68.25,-51.55,270.0,top
C6,68.0,-45.5,90.0,top
C7,68.25,-63.8,270.0,top
C8,68.0,-57.75,90.0,top
C9,41.75,-57.5,180.0,top
D1,33.909,-68.4045,270.0,top
D2,41.721364,-37.25,0.0,top
D3,41.7336,-40.0,0.0,top
J1,87.122,-51.388,270.0,top
J2,47.2,-32.725,270.0,top
Q1,73.126001,-36.195,180.0,top
Q2,76.479999,-43.053,0.0,top
Q3,73.216,-48.768,180.0,top
Q4,76.479999,-55.372,0.0,top
Q5,73.152,-60.96,180.0,top
Q6,76.39,-67.564,0.0,top
R1,52.565916,-42.992218,270.0,top
R10,67.175,-70.5,0.0,top
R11,60.925,-42.0,180.0,top
R12,63.75,-37.2125,270.0,top
R13,60.925,-32.5,180.0,top
R14,45.5,-40.0,180.0,top
R15,52.925,-40.0,180.0,top
R16,46.4211,-42.996999,270.0,top
R17,49.175,-40.0,0.0,top
R18,48.4211,-43.018885,270.0,top
R19,44.433518,-42.994085,90.0,top
R2,33.25,-37.25,0.0,top
R20,33.909,-64.0795,270.0,top
R21,37.75,-37.25,0.0,top
R22,41.648447,-42.5,180.0,top
R3,50.448019,-42.994761,270.0,top
R4,30.5,-41.75,270.0,top
R5,78.5,-33.0,270.0,top
R6,60.0,-50.675,90.0,top
R7,60.0,-61.175,90.0,top
R8,60.0,-45.675,90.0,top
R9,60.0,-55.675,90.0,top
U1,47.1931,-51.099999,0.0,top
