Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C6, C7, C8, C9",1206,9,22u,
C12,0805,1,10u,
"C13, C15, C16, C17, C18, C4, C5",0402,7,100n,
"C14, L1",0805,2,22u,
"C19, C20, C21",0402,3,1u,
"D1, D2",0402,2,D,
D3,0603,1,GREEN,
D4,0603,1,RED,
J1,AMPHENOL_10159560-A00221RLF,1,10159560-A00221RLF,
J2,STLINK-V3MINIE-EDGE,1,STLINK-V3MINIE-EDGE,
"Q1, Q2, Q3",PG-TDSON-8-56-2,3,IAUC60N04S6N031HATMA1,
"R1, R2, R3, R4, R5, R6",0402,6,33,
"R10, R19",0402,2,1k,
"R11, R12, R13, R18, R21, R23, R7, R8, R9",0402,9,10k,
R14,2512,1,0.001,
"R15, R16, R17, R22",0402,4,2.2k,
R20,0402,1,100k,
TP1,TestPoint_Pad_D1.5mm,1,TELEMETRY,
TP2,TestPoint_Pad_D1.5mm,1,TestPoint,
U1,DBV0005A_N,1,INA180A1IDBVR,
U2,IC_STSPIN32F0A,1,STSPIN32F0A,
