Designator,Mid X,Mid Y,Rotation,Layer
C1,158.425,-68.0,180.0,top
C10,150.569198,-90.719633,270.0,top
C11,147.84529,-90.730273,270.0,top
C12,152.4,-62.3,270.0,top
C13,149.3,-63.070285,90.0,top
C14,141.75,-62.0,270.0,top
C15,154.325,-65.25,0.0,top
C16,145.77,-63.5,180.0,top
C17,148.0,-63.08,90.0,top
C18,150.6,-63.084012,270.0,top
C19,151.155,-74.0,180.0,top
C2,158.425,-70.75,180.0,top
C20,147.98,-74.75,180.0,top
C21,144.75,-74.0,180.0,top
C3,158.425,-73.5,180.0,top
C4,160.675,-96.23,270.0,top
C5,142.405,-67.0,180.0,top
C6,150.579931,-78.216339,270.0,top
C7,147.845382,-78.205699,270.0,top
C8,150.558604,-84.467998,270.0,top
C9,147.848883,-84.471545,270.0,top
D1,147.985,-60.9,0.0,top
D2,142.325,-64.5,180.0,top
D3,163.175,-68.072,180.0,top
D4,167.175,-68.072,180.0,top
J1,165.047,-83.638,270.0,top
J2,163.425,-59.75,0.0,top
L1,144.75,-61.25,0.0,top
Q1,156.425,-78.25,180.0,top
Q2,156.425,-84.5,180.0,top
Q3,156.425,-90.75,180.0,top
R1,141.175,-86.26,270.0,top
R10,140.175,-68.0,90.0,top
R11,154.325,-67.75,180.0,top
R12,154.75,-63.01,270.0,top
R13,142.325,-73.5,0.0,top
R14,148.175,-96.25,180.0,top
R15,154.325,-69.0,180.0,top
R16,156.0,-63.01,270.0,top
R17,142.325,-72.25,0.0,top
R18,154.325,-70.25,180.0,top
R19,142.325,-65.75,0.0,top
R2,141.175,-83.49,270.0,top
R20,142.4,-68.3,0.0,top
R21,163.08,-66.5,180.0,top
R22,167.08,-66.5,180.0,top
R23,142.4,-69.6,180.0,top
R3,141.175,-77.99,270.0,top
R4,154.25,-71.5,0.0,top
R5,141.175,-89.01,270.0,top
R6,141.175,-80.75,270.0,top
R7,154.335,-66.5,180.0,top
R8,157.25,-63.01,90.0,top
R9,142.325,-71.0,180.0,top
U1,157.800001,-96.199998,0.0,top
U2,148.25,-69.0,270.0,top
